bucket_5min,action,action_group,metric,before_mean,after_mean,delta,delta_ratio,before_bucket_count,after_bucket_count,window_status,product_family_context,confidence
2026-02-12 17:30:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:30:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,9.916666666666666,11.666666666666666,1.75,0.17647058823529413,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:35:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,1860.2626666666667,7287.213125000002,5426.9504583333355,2.917303322577386,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:35:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:35:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,10.083333333333334,11.583333333333334,1.5,0.1487603305785124,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:35:00,DISPATCH_AMR,A3,a3_to_amr_wait_p90_recent,1860.2626666666667,7287.213125000002,5426.9504583333355,2.917303322577386,12,12,ok,MIXED_OR_NONE,Medium
2026-02-12 17:35:00,DISPATCH_AMR,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,Medium
2026-02-12 17:35:00,DISPATCH_AMR,A3,buffer_wip,10.083333333333334,11.583333333333334,1.5,0.1487603305785124,12,12,ok,MIXED_OR_NONE,Medium
2026-02-12 17:40:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,2494.576,7185.17094166667,4690.59494166667,1.880317513544053,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:40:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:40:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,10.416666666666666,11.666666666666666,1.25,0.12000000000000001,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:45:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,3128.889333333333,7209.273575000002,4080.384241666669,1.3040998919957547,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:45:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:45:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,10.583333333333334,11.75,1.166666666666666,0.11023622047244089,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:50:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,3701.335008333333,6565.8824416666685,2864.5474333333354,0.7739227675646704,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:50:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:50:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,10.75,11.833333333333334,1.083333333333334,0.10077519379844967,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:55:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,4357.341475,5922.491308333334,1565.1498333333338,0.3591983419966721,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:55:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:55:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,10.833333333333334,11.916666666666666,1.0833333333333321,0.09999999999999988,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:00:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,5013.347941666667,5279.1001750000005,265.7522333333336,0.05300893463320748,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:00:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:00:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,10.916666666666666,12.0,1.083333333333334,0.0992366412213741,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:05:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,5669.354408333334,4635.709041666666,-1033.6453666666675,-0.18232152944034005,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:05:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:05:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.0,12.0,1.0,0.09090909090909091,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:05:00,DISPATCH_AMR,A3,a3_to_amr_wait_p90_recent,5669.354408333334,4635.709041666666,-1033.6453666666675,-0.18232152944034005,12,12,ok,MIXED_OR_NONE,Medium
2026-02-12 18:05:00,DISPATCH_AMR,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,Medium
2026-02-12 18:05:00,DISPATCH_AMR,A3,buffer_wip,11.0,12.0,1.0,0.09090909090909091,12,12,ok,MIXED_OR_NONE,Medium
