action,action_group,metric,reduction_rate,scenario_rows,before_mean,observed_after_mean,simulated_after_mean,observed_delta_mean,simulated_delta_mean,observed_delta_ratio_mean,simulated_delta_ratio_mean
HOLD_ENTRY,A4,a4_processing_max_sec,0.3,87,489.55027107279693,511.777596743295,358.2443177203065,22.227325670498082,-131.30595335249043,1.341806103710325,0.6392642725972275
PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,0.1,10939,175.5459811423957,172.07615677849896,154.86854110064905,-3.469824363896762,-20.677440041746653,2.6981065567739226,2.3282959010965305
PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,0.2,10939,175.5459811423957,172.07615677849896,137.66092542279915,-3.469824363896762,-37.885055719596544,2.6981065567739226,1.9584852454191386
PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,0.3,10939,175.5459811423957,172.07615677849896,120.45330974494925,-3.469824363896762,-55.09267139744646,2.6981065567739226,1.5886745897417456
PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.1,10939,44.759183649480455,67.1244781881342,60.41203036932078,22.36529453865375,15.652846719840328,5.104371545367223,4.493934390830501
PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.2,10939,44.759183649480455,67.1244781881342,53.69958255050737,22.36529453865375,8.94039890102691,5.104371545367223,3.88349723629378
PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.3,10939,44.759183649480455,67.1244781881342,46.98713473169394,22.36529453865375,2.227951082213484,5.104371545367223,3.2730600817570568
PRIORITIZE_DISCHARGE,A3,buffer_wip,0.1,10939,80.95411676874791,80.97946186427767,72.88151567784989,0.025345095529755914,-8.072601090898006,0.00043763035662853556,-0.09960613267903426
PRIORITIZE_DISCHARGE,A3,buffer_wip,0.2,10939,80.95411676874791,80.97946186427767,64.78356949142213,0.025345095529755914,-16.170547277325774,0.00043763035662853556,-0.19964989571469716
PRIORITIZE_DISCHARGE,A3,buffer_wip,0.3,10939,80.95411676874791,80.97946186427767,56.685623304994365,0.025345095529755914,-24.268493463753547,0.00043763035662853556,-0.2996936587503601
SCHEDULE_RAIL,RAIL,active_rail_count,0.1,1292,2.967169762641899,2.969492134972011,2.67254292147481,0.0023223723301122696,-0.29462684116708876,0.4123521747066368,0.2711169572359732
SCHEDULE_RAIL,RAIL,active_rail_count,0.2,1292,2.967169762641899,2.969492134972011,2.3755937079776093,0.0023223723301122696,-0.5915760546642898,0.4123521747066368,0.12988173976530953
SCHEDULE_RAIL,RAIL,active_rail_count,0.3,1292,2.967169762641899,2.969492134972011,2.0786444944804074,0.0023223723301122696,-0.8885252681614912,0.4123521747066368,-0.011353477705354262
SCHEDULE_RAIL,RAIL,rail_event_count,0.1,1292,250.78457172342624,266.5883893110674,239.92955037996063,15.803817587641115,-10.855021343465614,2.757980675632446,2.382182608069202
SCHEDULE_RAIL,RAIL,rail_event_count,0.2,1292,250.78457172342624,266.5883893110674,213.2707114488539,15.803817587641115,-37.51386027457234,2.757980675632446,2.006384540505957
SCHEDULE_RAIL,RAIL,rail_event_count,0.3,1292,250.78457172342624,266.5883893110674,186.61187251774712,15.803817587641115,-64.1726992056791,2.757980675632446,1.6305864729427118
