event_time,area,source_table,PRD_SRL_NO,PRD_CD,CMP_EQ_ID,STRG_CD,SLOT_NM,delta,wip
2026-03-11 14:32:54.257,BUFFER,strg_buf_in,PRD1000-260311018-0001,PRD1000,EQ05,SR03,1,1,47
2026-03-11 14:37:48.887,BUFFER,strg_buf_in,PRD3001-260311017-0001,PRD3001,EQ05,SR03,1,1,48
2026-03-11 14:43:42.035,BUFFER,strg_buf_out,PRD3001-260311017-0001,PRD3001,EQ05,SR04,0,-1,47
2026-03-11 14:43:52.789,BUFFER,strg_buf_out,PRD3001-260311015-0001,PRD3001,EQ05,SR04,0,-1,46
2026-03-11 14:51:10.029,BUFFER,strg_buf_out,PRD3002-260311004-0001,PRD3002,EQ05,SR04,0,-1,45
2026-03-11 14:56:06.944,BUFFER,strg_buf_out,PRD3001-260311003-0002,PRD3001,EQ05,SR04,0,-1,44
2026-03-11 15:46:37.931,BUFFER,strg_buf_in,PRD2000-260311019-0002,PRD2000,EQ05,SR03,1,1,45
2026-03-11 16:00:45.224,BUFFER,strg_buf_in,PRD1000-260311020-0001,PRD1000,EQ05,SR03,2,1,46
2026-03-11 16:02:31.729,BUFFER,strg_buf_out,PRD1000-260311020-0001,PRD1000,EQ05,SR04,0,-1,45
2026-03-11 16:53:43.852,BUFFER,strg_buf_in,PRD1000-260311023-0002,PRD1000,EQ05,SR03,2,1,46
2026-03-11 16:55:30.930,BUFFER,strg_buf_out,PRD1000-260311023-0002,PRD1000,EQ05,SR04,0,-1,45
2026-03-11 16:59:33.624,BUFFER,strg_buf_in,PRD1000-260311025-0001,PRD1000,EQ05,SR03,2,1,46
2026-03-11 17:01:09.766,BUFFER,strg_buf_out,PRD1000-260311025-0001,PRD1000,EQ05,SR04,0,-1,45
2026-03-11 17:07:10.842,BUFFER,strg_buf_in,PRD2000-260311026-0001,PRD2000,EQ05,SR03,2,1,46
2026-03-11 17:08:08.056,BUFFER,strg_buf_in,PRD2000-260311024-0001,PRD2000,EQ05,SR03,3,1,47
2026-03-11 17:14:13.816,BUFFER,strg_buf_in,PRD1000-260311023-0001,PRD1000,EQ05,SR03,1,1,48
2026-03-11 17:19:55.348,BUFFER,strg_buf_out,PRD1000-260311023-0001,PRD1000,EQ05,SR04,0,-1,47
2026-03-11 17:20:06.203,BUFFER,strg_buf_out,PRD2000-260311026-0001,PRD2000,EQ05,SR04,0,-1,46
